2060006b,2070001,2070002,2070002b,2070002c,2070003,2070004,2070005,2070006,2070007,2070008,2070008b,2070009,2070010,2070010b,2070011
0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
0.13,0.08,0.02,0.01,0.1,0.2,0.14,0.09,0.03,0.1,0.01,0.08,0,0,0,0
